2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,cityName-ch,cityName,distance-Wuhan,distance-Xiaogan,distance-Huanggang,distance-Suizhou,distance-Jingzhou
1.0,1.0,20.0,31.0,51.0,63.0,117.0,167.0,276.0,353.0,392.0,452.0,496.0,563.0,610.0,633.0,711.0,749.0,772.0,784.0,810.0,877.0,906.0,宜昌,Yichang,289.31126892204736,282.87784501648287,343.66647932084686,228.0289515228918,99.1547004520888
,1.0,5.0,6.0,10.0,14.0,14.0,26.0,29.0,31.0,36.0,45.0,48.0,54.0,62.0,67.0,74.0,77.0,83.0,88.0,95.0,101.0,102.0,宜春,Yichun,300.449768976123,457.85071523437625,295.3773349756772,443.85135637816916,348.5747885707798
,,,,3.0,4.0,4.0,4.0,6.0,7.0,8.0,10.0,10.0,10.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,宝鸡,Baoji,797.4587734532727,686.9552691773335,847.1195651865364,652.2737947387207,656.4302693330806
,,1.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,宣城,Xuancheng,449.90186747226653,455.7524697277068,404.1592659642636,507.1098634125828,644.065435988384
,,2.0,3.0,3.0,9.0,10.0,10.0,12.0,14.0,21.0,23.0,24.0,25.0,27.0,28.0,28.0,31.0,33.0,36.0,38.0,39.0,39.0,宿州,Suzhou,426.57700412251216,343.70812123548694,405.5234017480481,397.94134431580943,577.2609212400546
,,,,,4.0,6.0,6.0,6.0,,,,,,,,,,,,,,,宿松,Susong,179.7521679768988,288.8262985319895,125.40158406107955,315.13216992198466,374.76918395829966
,1.0,1.0,1.0,3.0,4.0,4.0,7.0,8.0,8.0,9.0,10.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,宿迁,Suqian,535.5504405880243,468.68107075014456,506.8248673610188,523.4122709981391,698.6652560129556
3.0,5.0,6.0,7.0,17.0,26.0,29.0,37.0,45.0,53.0,70.0,83.0,89.0,93.0,107.0,111.0,115.0,124.0,134.0,146.0,148.0,149.0,153.0,岳阳,Yueyang,173.55572106461946,293.42206615519336,208.85116250963867,261.7638766656383,134.54307662858338
2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,巩义,Gongyi,479.0365804979749,319.2090037016162,503.08219651507807,332.676462931878,490.5043578929858
,,,,,2.0,4.0,5.0,8.0,8.0,12.0,12.0,15.0,19.0,20.0,21.0,21.0,22.0,22.0,22.0,22.0,24.0,24.0,巴中,Bazhong,737.4280912675368,679.177845068294,791.7790502130043,629.8525929279035,552.3887576300526
,,,,,,,,,,,,,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,巴州,Bazhou,735.2196064869703,678.7070503397811,789.6096041975768,629.0757419427973,549.2604464727101
,,,,,1.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,6.0,6.0,,6.0,6.0,6.0,8.0,巴彦淖尔,Bayannaoer,1295.8886703486924,1140.778088476155,1328.6500674509496,1137.4007793594408,1237.0680992527934
,5.0,5.0,6.0,8.0,8.0,10.0,13.0,14.0,15.0,15.0,19.0,24.0,27.0,29.0,31.0,31.0,31.0,31.0,36.0,38.0,43.0,43.0,常州,Changzhou,555.8209027988707,571.7426416918024,507.105000270033,622.4897761107669,753.039284065173
,3.0,7.0,12.0,19.0,26.0,30.0,37.0,39.0,42.0,45.0,50.0,56.0,62.0,64.0,66.0,66.0,72.0,73.0,75.0,77.0,78.0,78.0,常德,Changde,301.2009056108021,382.9420632479992,344.01701109760563,337.37983716153036,151.87275193041842
,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,7.0,8.0,8.0,9.0,,9.0,平凉,Pingliang,901.9880384004005,779.1989458178332,949.2847176478091,750.3092984882167,774.5077984629263
,1.0,2.0,5.0,5.0,5.0,8.0,10.0,11.0,14.0,19.0,28.0,34.0,41.0,46.0,48.0,50.0,52.0,54.0,55.0,56.0,57.0,58.0,平顶山,Pingdingshan,370.86993382492983,211.08678997383993,396.16872776831065,225.5197051361796,391.6580992254746
,,,,,1.0,3.0,2.0,2.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,广元,Guangyuan,834.1383704440178,764.9767865356478,888.1665396424248,718.0559127331984,653.9121328702056
2.0,2.0,2.0,6.0,7.0,7.0,9.0,13.0,16.0,20.0,21.0,24.0,24.0,24.0,27.0,28.0,28.0,28.0,30.0,30.0,30.0,30.0,30.0,广安,Guangan,739.0615369843816,713.6454063734399,793.1109736629617,660.1317042780031,541.361155304382
7.0,14.0,17.0,41.0,51.0,63.0,98.0,112.0,150.0,179.0,200.0,224.0,249.0,270.0,285.0,301.0,307.0,314.0,317.0,323.0,327.0,328.0,335.0,广州,Guangzhou,822.5198871943453,973.0375576495925,822.9118805175428,948.4250352746878,800.7679456664208
,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,,3.0,庆阳,Qingyang,855.3075711169906,719.6883757414537,898.8328275373485,698.0754448046459,751.285280751769
,,,2.0,6.0,9.0,9.0,9.0,11.0,11.0,12.0,12.0,13.0,14.0,15.0,20.0,22.0,24.0,26.0,28.0,29.0,29.0,29.0,廊坊,Langfang,1022.9856716279005,881.1498659037851,1022.131915493757,917.2940908682629,1098.2426795271717
1.0,1.0,1.0,2.0,2.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,延安,Yanan,810.1105334619224,660.6697031050256,847.2632413764453,650.4086968435831,741.2514222308813
,,,,,,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,延边,Yanbian,1924.0677683933382,1834.470082652395,1896.5140182532452,1885.5494164095894,2071.649328694509
,,,1.0,2.0,3.0,4.0,6.0,8.0,11.0,11.0,12.0,17.0,18.0,20.0,21.0,24.0,24.0,25.0,25.0,25.0,25.0,25.0,开封,Kaifeng,473.5516832816821,320.9367094805964,484.8656193046459,352.5228664873258,532.443969503498
,,,,,1.0,6.0,6.0,8.0,9.0,9.0,9.0,10.0,12.0,13.0,14.0,14.0,17.0,21.0,21.0,25.0,31.0,33.0,张家口,Zhangjiakou,1143.9413398141835,991.3329646272553,1151.693791971555,1018.8107401575121,1187.5654500922662
,,,,,,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,张家界,Zhangjiajie,401.02465417516225,451.9268497555064,448.6396168778376,400.13489326658316,216.61194852575414
,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,张掖,Zhangye,1571.640405319398,1445.6196391970313,1618.629859533449,1419.0452063212724,1438.7913550468625
,,,3.0,8.0,8.0,15.0,20.0,23.0,30.0,36.0,39.0,45.0,45.0,49.0,52.0,56.0,60.0,63.0,66.0,71.0,76.0,77.0,徐州,Xuzhou,495.87425757585635,402.0615129157888,476.98087283737937,454.91004611352935,638.3855362196417
,,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,德宏,Dehong,1691.2207064622887,1715.0122776677326,1739.1382554568288,1660.010166511486,1498.340967808852
,1.0,3.0,6.0,8.0,11.0,15.0,16.0,17.0,19.0,19.0,19.0,24.0,26.0,27.0,29.0,30.0,32.0,32.0,33.0,35.0,35.0,36.0,德州,Dezhou,790.1042966461729,651.0147375386509,788.5332849327023,689.5752916229534,873.5223239633666
1.0,1.0,1.0,1.0,1.0,2.0,3.0,7.0,7.0,10.0,10.0,12.0,12.0,12.0,12.0,13.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,德阳,Deyang,953.1207412242688,910.0044763266789,1007.5638631615857,858.8308559517784,758.8956993381048
,,,,,,,,1.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,忻州,Xinzhou,892.7725382251523,733.6118746271154,911.2113180995866,750.453450100643,902.7926077113062
3.0,5.0,8.0,11.0,16.0,18.0,23.0,26.0,28.0,31.0,32.0,35.0,35.0,36.0,38.0,38.0,39.0,39.0,39.0,39.0,39.0,39.0,40.0,怀化,Huaihua,539.3295655978027,620.1060309321264,578.3824732637668,571.6061077688224,383.5329744070553
,11.0,17.0,25.0,38.0,51.0,66.0,75.0,87.0,105.0,111.0,123.0,138.0,144.0,157.0,160.0,171.0,187.0,195.0,203.0,229.0,237.0,244.0,恩施,Enshi,461.04220297124687,455.43754194006567,514.6561332227386,400.46080175041186,262.02764414879505
5.0,7.0,8.0,8.0,11.0,12.0,17.0,20.0,20.0,23.0,28.0,29.0,34.0,35.0,39.0,47.0,48.0,52.0,53.0,54.0,55.0,56.0,58.0,惠州,Huizhou,823.3028681007349,979.6697431808595,815.722808909032,961.3582524462836,830.6500726287871
7.0,16.0,22.0,33.0,37.0,46.0,59.0,69.0,72.0,73.0,77.0,87.0,92.0,97.0,102.0,109.0,120.0,123.0,124.0,125.0,131.0,135.0,139.0,成都,Chengdu,982.831167439096,947.646490720864,1037.0775759432975,895.5112061785956,786.155830028779
1.0,1.0,1.0,4.0,5.0,8.0,8.0,8.0,13.0,13.0,14.0,15.0,15.0,15.0,17.0,17.0,18.0,18.0,18.0,18.0,20.0,20.0,21.0,扬州,Yangzhou,528.0170109788909,522.3261525594354,483.599550138831,575.232247586185,719.8462027027639
,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,承德,Chengde,1204.5097334771917,1066.6310739259497,1200.4893109834736,1104.5175235740953,1286.9857708842474
1.0,4.0,6.0,7.0,8.0,9.0,13.0,15.0,18.0,24.0,29.0,34.0,44.0,46.0,56.0,59.0,63.0,64.0,67.0,68.0,69.0,71.0,72.0,抚州,Fuzhou,341.9558407358229,493.7572908081147,305.8844393578414,501.6160771426722,475.1086040007136
,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,1.0,拉萨,Lasa,2229.8627215502765,2185.4022956501103,2284.167859627732,2135.350892781022,2033.2857808740005
,,3.0,3.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,揭阳,Jieyang,798.3386809831256,958.1277799899461,777.4166649439959,951.2748446334243,854.9141071112047
,,,,,,,1.0,7.0,9.0,10.0,10.0,11.0,11.0,11.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,攀枝花,Panzhihua,1305.6140736697162,1322.669575478431,1354.9576092781604,1267.658108661327,1110.1177235940988
,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,文山,Wenshan,1274.6696357988217,1343.4111542390763,1313.6109348996524,1291.3706370974417,1107.260470432579
,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,文昌,Wenchang,1261.416460111182,1400.589440026055,1270.3693707539717,1367.5248685304612,1197.641683783029
,1.0,3.0,4.0,6.0,7.0,11.0,15.0,21.0,21.0,27.0,33.0,39.0,41.0,41.0,43.0,44.0,46.0,48.0,53.0,54.0,55.0,55.0,新乡,Xinxiang,532.9639824111722,376.04501109702665,548.4545337926301,400.80857023832806,572.145877244411
1.0,1.0,1.0,3.0,3.0,11.0,11.0,28.0,40.0,43.0,50.0,59.0,69.0,78.0,87.0,95.0,100.0,105.0,110.0,117.0,121.0,124.0,127.0,新余,Xinyu,306.176470762103,465.9197373870558,291.544364570095,458.0717487422893,382.3006597114531
1.0,1.0,2.0,4.0,6.0,9.0,10.0,12.0,13.0,19.0,23.0,25.0,26.0,28.0,31.0,34.0,38.0,41.0,45.0,48.0,49.0,51.0,52.0,无锡,Wuxi,582.9006463063648,605.4821049067264,532.9583685004961,655.4925485002944,781.2799104240676
1.0,3.0,4.0,5.0,6.0,8.0,9.0,9.0,10.0,11.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,日照,Rizhao,725.7697569962708,644.4964406002405,699.308238811123,697.8628577095158,879.6431140387303
3.0,4.0,4.0,7.0,12.0,15.0,21.0,25.0,30.0,31.0,32.0,34.0,35.0,40.0,41.0,41.0,42.0,45.0,46.0,46.0,48.0,48.0,48.0,昆明,Kunming,1291.7588111445125,1332.797843764439,1337.0532369329992,1278.3669747985791,1105.8056802106796
,,,,,,,,,,,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,昌吉,Changji,2806.213746282843,2679.1720246761097,2853.217750907165,2653.4915286712844,2669.3113577350587
,,,,,,,1.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,昌江,Changjiang,1357.0681199387775,1486.2354190068602,1372.240479716739,1448.3635449198373,1269.662602514634
,,1.0,1.0,2.0,2.0,4.0,6.0,6.0,8.0,8.0,9.0,10.0,10.0,10.0,10.0,12.0,12.0,14.0,14.0,14.0,19.0,25.0,昭通,Zhaotong,1032.7397596761164,1020.0091017567145,1085.7084223346858,965.9040773402205,832.9907613040667
,,2.0,2.0,5.0,9.0,9.0,9.0,11.0,13.0,15.0,19.0,21.0,26.0,27.0,30.0,32.0,32.0,33.0,34.0,35.0,35.0,35.0,晋中,Jinzhong,808.767109560257,649.3713489896913,828.2083749382695,665.4849105025514,817.7639190294586
,,,,,,,,2.0,3.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,晋城,Jincheng,571.4822303661598,411.6496011662771,594.7435268143782,424.7845698753595,577.921530908135
,,,,,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,普洱,Puer,1555.361927872876,1604.482148146269,1598.5996607351851,1550.4352986243962,1374.3027046979687
,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,景德镇,Jingdezhen,311.85890143374553,430.19282655510045,259.82714860462823,455.74948341427506,494.5808510671749
,1.0,1.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,6.0,9.0,10.0,10.0,10.0,11.0,11.0,12.0,13.0,13.0,13.0,13.0,13.0,曲靖,Qujing,1173.3607807488286,1216.494963231042,1218.456270922207,1162.233204936187,988.2920233692588
,,,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,朔州,Shuozhou,992.3514243940674,833.1069630640616,1010.8732762218087,849.336599149985,999.2451829384457
1.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,朝阳,Zhaoyang,1344.1182268644332,1218.5638677359275,1332.7303487386569,1261.476962229076,1448.0989982242754
,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,本溪,Benxi,1465.497681049579,1360.167924839408,1444.6115200575541,1408.633647774408,1596.571826934001
,,,,,,,,,,,,,1.0,1.0,3.0,7.0,11.0,11.0,11.0,11.0,11.0,11.0,来宾,Laibin,901.734236657662,1014.2257133275285,926.7675967076306,971.464495785622,786.7079198067834
,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,杨凌,Yangling,722.6984909865087,607.6686179574582,771.368078638098,574.6660865488216,590.5577915408181
6.0,12.0,27.0,27.0,32.0,51.0,69.0,85.0,98.0,110.0,118.0,132.0,141.0,151.0,156.0,162.0,165.0,155.0,157.0,159.0,162.0,165.0,166.0,杭州,Hangzhou,565.7780053418994,626.7123538908202,511.8379558092645,670.1655513446215,764.4835233693565
1.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,松原,Songyuan,1864.421559956567,1745.4919138152954,1848.8530806514214,1790.062951949532,1977.482561987981
,,,2.0,5.0,8.0,9.0,9.0,12.0,15.0,16.0,16.0,17.0,17.0,19.0,20.0,21.0,21.0,23.0,23.0,23.0,23.0,24.0,枣庄,Zaozhuang,570.0951263698189,471.39734618257177,551.6900895202265,523.1741707135253,708.4680598395163
2.0,3.0,5.0,6.0,6.0,6.0,10.0,11.0,12.0,12.0,14.0,15.0,17.0,20.0,20.0,20.0,20.0,22.0,22.0,22.0,22.0,22.0,24.0,柳州,Liuzhou,840.0872460164303,950.4211887816298,866.3709730752214,907.2200875344606,722.0639617151201
1.0,1.0,3.0,5.0,7.0,13.0,18.0,19.0,22.0,25.0,26.0,34.0,38.0,41.0,46.0,48.0,58.0,61.0,68.0,71.0,75.0,77.0,78.0,株洲,Zhuzhou,318.4438826972858,459.12711325049617,333.71789124080055,431.4859427209079,291.4243635959963
2.0,6.0,11.0,14.0,15.0,16.0,18.0,18.0,21.0,23.0,24.0,24.0,26.0,27.0,28.0,29.0,29.0,30.0,30.0,31.0,31.0,31.0,31.0,桂林,Guilin,702.2139681472665,815.9117855688972,727.8576321547145,774.1956679044105,591.2568538761853
,,1.0,3.0,4.0,4.0,5.0,5.0,6.0,7.0,8.0,9.0,10.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,15.0,梅州,Meizhou,684.7353199251909,844.5115548712907,663.8851166714696,838.0137582066873,745.5523033157725
,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,梅河口,Meihekou,1677.296109303561,1574.43703701651,1655.0273433049597,1623.2524296552301,1811.0845034752795
1.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,梧州,Wuzhou,830.6651567301714,965.7013471319661,843.8989412841034,931.4907591996608,761.2415233503034
,,,,,,,,,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,楚雄,Chuxiong,1397.758091655266,1431.6061741571275,1444.2530007134546,1376.838681310341,1208.5140832533727
,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,榆林,Yulin,958.3240239980091,801.9152804221226,989.6512970955764,800.9185369723538,912.5174989486227
,,,,,3.0,,,,,,,,,,,,,,,,,,歙县,Xixian,403.9403083252383,488.5169752194071,349.44369652973836,525.3614645964257,599.4234393812826
495.0,572.0,618.0,698.0,1590.0,1905.0,2261.0,2639.0,3215.0,4109.0,5142.0,6384.0,8351.0,10117.0,11618.0,13603.0,14982.0,16902.0,18454.0,19558.0,32994.0,35991.0,37914.0,武汉,Wuhan,0.0,159.83289681782037,54.49683381572771,159.74187464025573,199.76855351313824
,,,,,,1.0,3.0,3.0,4.0,4.0,9.0,11.0,13.0,17.0,21.0,21.0,21.0,21.0,22.0,22.0,23.0,23.0,毕节,Bijie,947.9892015606465,977.7149204429937,996.0205892904002,922.9525586603556,755.9958272656751
,,,,,,,4.0,7.0,8.0,8.0,,,,,,,,,,,,,永城,Yongcheng,426.0329463352996,321.1032753177784,413.0705150977933,372.9849212157598,558.2137177636063
4.0,4.0,4.0,4.0,7.0,11.0,14.0,16.0,18.0,22.0,26.0,26.0,30.0,32.0,38.0,40.0,40.0,41.0,42.0,43.0,43.0,43.0,43.0,永州,Yongzhou,544.10504536099,669.5867067372332,565.3126975222194,632.7301607854682,459.7076315054874
,,1.0,3.0,4.0,6.0,6.0,11.0,13.0,15.0,15.0,16.0,19.0,20.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,汉中,Hanzhong,657.5014373062374,566.1348187530954,709.565867196895,524.1891106351361,500.7109444115381
,1.0,2.0,2.0,5.0,8.0,12.0,12.0,14.0,15.0,18.0,18.0,20.0,21.0,22.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,汕头,Shantou,824.539515582552,984.1204076003058,801.7608957988346,978.8733383227682,886.9653066906043
,,,1.0,1.0,1.0,1.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,汕尾,Shanwei,864.2116635489347,1023.1988471905281,850.329138773281,1009.9477336548281,893.0660821106928
,,,,,1.0,1.0,2.0,3.0,3.0,4.0,6.0,7.0,9.0,14.0,15.0,19.0,20.0,20.0,21.0,22.0,22.0,22.0,江门,Jiangmen,885.190888989206,1035.047339709645,886.0494361246497,1009.7131357861031,859.5044104907976
1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,6.0,6.0,10.0,11.0,11.0,11.0,11.0,12.0,15.0,15.0,16.0,16.0,17.0,17.0,池州,Chizhou,305.8083814443864,368.74973933569936,252.9905550481816,409.3613658358201,505.52208256059026
2.0,5.0,6.0,7.0,8.0,9.0,9.0,10.0,13.0,17.0,18.0,18.0,23.0,23.0,25.0,26.0,26.0,26.0,27.0,28.0,28.0,28.0,28.0,沈阳,Shenyang,1492.1885717975142,1382.023485878902,1473.2645230302583,1429.3350358110351,1617.4364813244506
1.0,2.0,2.0,2.0,5.0,8.0,12.0,18.0,19.0,19.0,19.0,20.0,20.0,21.0,23.0,28.0,28.0,28.0,32.0,37.0,42.0,45.0,46.0,沧州,Cangzhou,896.6887415075076,759.1962202352389,893.5366050579551,798.1212929447289,982.1257785110912
1.0,3.0,3.0,3.0,3.0,3.0,5.0,6.0,6.0,6.0,6.0,8.0,9.0,11.0,11.0,15.0,19.0,21.0,21.0,21.0,21.0,21.0,22.0,河池,Hechi,892.135581600024,984.162934235199,925.2107208215496,936.4344705881631,748.3379230608997
,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,河源,Heyuan,753.2663888510573,910.7520475155914,743.7439284475671,894.3991484960079,770.4861770588985
1.0,3.0,5.0,10.0,13.0,13.0,18.0,22.0,24.0,29.0,31.0,35.0,55.0,39.0,40.0,40.0,42.0,42.0,43.0,43.0,44.0,44.0,46.0,泉州,Quanzhou,748.8333549450601,899.4194501695827,711.7314180803213,908.5169986140222,865.5095444075753
,,,,1.0,3.0,3.0,4.0,6.0,9.0,12.0,12.0,14.0,18.0,20.0,20.0,24.0,31.0,32.0,32.0,32.0,32.0,32.0,泰安,Taian,680.3290227757925,558.1886340941471,670.4473391115372,604.1724831847253,792.2196639260117
,,1.0,2.0,4.0,8.0,9.0,12.0,17.0,17.0,21.0,23.0,26.0,28.0,29.0,30.0,30.0,31.0,34.0,36.0,37.0,37.0,37.0,泰州,Taizhou,574.0987243608912,568.1993376820767,529.2399073678442,621.284065198044,766.2806213706901
,1.0,2.0,3.0,4.0,5.0,5.0,5.0,5.0,6.0,7.0,9.0,10.0,12.0,13.0,13.0,16.0,17.0,18.0,19.0,19.0,19.0,19.0,泸州,Luzhou,881.0986053113564,883.6612699900377,932.8902146035919,828.7854895893443,681.9580014290347
1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,5.0,7.0,7.0,12.0,17.0,21.0,24.0,25.0,25.0,27.0,28.0,29.0,30.0,30.0,31.0,洛阳,Luoyang,495.63880850586077,337.3404082101545,524.590724504189,342.1370800281844,484.686025521511
2.0,3.0,5.0,7.0,10.0,11.0,14.0,16.0,18.0,19.0,22.0,25.0,29.0,34.0,41.0,42.0,43.0,44.0,46.0,47.0,47.0,47.0,47.0,济南,Jinan,724.2207704377759,596.7651251932975,716.5620028445614,640.7398612569814,828.2478162833092
1.0,2.0,5.0,5.0,5.0,5.0,8.0,8.0,11.0,14.0,18.0,21.0,25.0,32.0,35.0,38.0,39.0,39.0,41.0,42.0,43.0,46.0,49.0,济宁,Jining,579.5697781856022,457.2036981023468,570.9685516167771,503.8010995331723,691.9024773303039
,,,,,,,,,,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,济源,Jiyuan,531.291268717272,371.93530073863053,557.8366651284657,380.42168837031784,527.382438518154
,,,,,,,,,,1.0,3.0,3.0,3.0,,,,,3.0,3.0,3.0,,3.0,海北,Haibei,1432.8754638257465,1320.0609413535603,1482.728089432349,1287.3235195258233,1283.505174197048
3.0,3.0,3.0,6.0,7.0,9.0,9.0,9.0,11.0,11.0,13.0,14.0,16.0,16.0,21.0,23.0,23.0,28.0,29.0,29.0,29.0,31.0,33.0,海口,Haikou,1229.3650057212246,1365.4632980145211,1240.5181649636404,1330.8724339697524,1158.1407506659589
,,1.0,2.0,2.0,4.0,8.0,9.0,10.0,12.0,12.0,12.0,14.0,14.0,15.0,15.0,16.0,17.0,20.0,21.0,23.0,28.0,29.0,淄博,Zibo,775.9975909720271,659.9228971442849,762.4832479365303,707.1740127142921,895.2675683026216
,,1.0,1.0,2.0,2.0,2.0,2.0,6.0,6.0,8.0,11.0,14.0,17.0,22.0,22.0,23.0,23.0,24.0,24.0,25.0,25.0,26.0,淮北,Huaibei,447.29407162849014,350.98797872558106,430.45894306546217,403.8599422797459,587.374078994189
,,1.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,7.0,8.0,12.0,12.0,14.0,21.0,22.0,23.0,24.0,24.0,24.0,23.0,23.0,淮南,Huainan,344.15777999795796,299.4622610501912,313.9607194396644,354.0156729141511,516.6801807738459
,,1.0,2.0,2.0,3.0,7.0,10.0,12.0,13.0,18.0,22.0,26.0,34.0,37.0,40.0,44.0,46.0,46.0,47.0,51.0,56.0,60.0,淮安,Huaian,564.0711027890596,521.5222015414736,527.9183394178705,576.4731287791501,741.5249424992256
15.0,20.0,31.0,36.0,57.0,80.0,98.0,134.0,170.0,207.0,245.0,271.0,291.0,316.0,339.0,354.0,366.0,369.0,375.0,386.0,391.0,400.0,406.0,深圳,Shenzhen,875.6287243987058,1030.6469755151059,870.0851270306147,1010.4236337918131,873.7023336337857
1.0,2.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,12.0,12.0,清远,Qingyuan,766.5895821486583,915.2126246167159,769.2346574790627,889.2496402424152,738.8560664611076
6.0,10.0,18.0,32.0,60.0,114.0,172.0,227.0,241.0,265.0,291.0,340.0,364.0,396.0,421.0,438.0,448.0,464.0,474.0,481.0,490.0,496.0,499.0,温州,Wenzhou,675.9200852982112,781.42339321076,623.0585610287067,813.5695451781843,857.2106175717996
,,,1.0,3.0,3.0,4.0,5.0,5.0,5.0,6.0,6.0,9.0,9.0,9.0,9.0,13.0,14.0,14.0,14.0,14.0,14.0,15.0,渭南,Weinan,633.0777093870845,502.06249611084587,677.6511760309743,477.0624512188074,531.0976124278687
