2019-12-01,2019-12-02,2019-12-03,2019-12-04,2019-12-05,2019-12-06,2019-12-07,2019-12-08,2019-12-09,2019-12-10,2019-12-11,2019-12-12,2019-12-13,2019-12-14,2019-12-15,2019-12-16,2019-12-17,2019-12-18,2019-12-19,2019-12-20,2019-12-21,2019-12-22,2019-12-23,2019-12-24,2019-12-25,2019-12-26,2019-12-27,2019-12-28,2019-12-29,2019-12-30,2019-12-31,2020-01-01,2020-01-02,2020-01-03,2020-01-04,2020-01-05,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-11,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,cityName,cityName-en
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,10.0,13.0,13.0,16.0,29.0,38.0,49.0,58.0,57.0,73.0,76.0,88.0,99.0,108.0,106.0,117.0,125.0,132.0,129.0,128.0,125.0,127.0,129.0,125.0,121.0,104.0,97.0,92.0,76.0,76.0,72.0,54.0,52.0,46.0,38.0,35.0,32.0,29.0,合肥,Hefei
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,3.0,3.0,3.0,4.0,7.0,10.0,11.0,12.0,14.0,14.0,14.0,15.0,15.0,16.0,16.0,16.0,15.0,16.0,15.0,14.0,13.0,12.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,9.0,10.0,9.0,9.0,7.0,7.0,4.0,吉安,Jian
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,吉林,Jilin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,吐鲁番,Tulufan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,吕梁,Lvliang
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,5.0,5.0,6.0,7.0,7.0,7.0,7.0,8.0,9.0,9.0,9.0,6.0,9.0,11.0,13.0,16.0,19.0,21.0,21.0,21.0,18.0,19.0,19.0,19.0,19.0,12.0,11.0,11.0,6.0,2.0,2.0,1.0,1.0,吴忠,Wuzhong
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,5.0,11.0,15.0,19.0,25.0,36.0,38.0,40.0,47.0,52.0,56.0,59.0,60.0,50.0,52.0,51.0,49.0,48.0,47.0,48.0,46.0,47.0,44.0,44.0,45.0,42.0,42.0,42.0,28.0,27.0,25.0,25.0,20.0,20.0,11.0,11.0,6.0,周口,Zhoukou
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,呼伦贝尔,Hulunbeier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,呼和浩特,Huhehaote
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,64.0,91.0,112.0,130.0,166.0,206.0,246.0,296.0,348.0,384.0,398.0,442.0,436.0,458.0,466.0,459.0,455.0,454.0,443.0,625.0,705.0,692.0,670.0,652.0,594.0,488.0,511.0,464.0,427.0,380.0,321.0,265.0,213.0,181.0,148.0,132.0,咸宁,Xianning
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,4.0,4.0,5.0,5.0,6.0,8.0,9.0,9.0,11.0,15.0,15.0,14.0,14.0,14.0,14.0,13.0,13.0,13.0,13.0,12.0,12.0,11.0,11.0,10.0,9.0,7.0,3.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,咸阳,Xianyang
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,8.0,8.0,10.0,11.0,13.0,18.0,25.0,34.0,43.0,61.0,69.0,76.0,88.0,85.0,91.0,105.0,113.0,131.0,135.0,143.0,143.0,134.0,147.0,153.0,146.0,143.0,136.0,118.0,117.0,118.0,118.0,118.0,118.0,110.0,100.0,100.0,69.0,哈尔滨,Haerbin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,7.0,8.0,11.0,11.0,11.0,12.0,17.0,19.0,19.0,21.0,25.0,26.0,28.0,30.0,31.0,39.0,37.0,42.0,41.0,38.0,41.0,39.0,37.0,36.0,37.0,30.0,27.0,21.0,17.0,16.0,15.0,9.0,唐山,Tangshan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,7.0,14.0,18.0,27.0,29.0,36.0,50.0,60.0,61.0,65.0,72.0,67.0,71.0,73.0,74.0,72.0,72.0,62.0,61.0,58.0,59.0,42.0,42.0,38.0,38.0,25.0,25.0,20.0,13.0,13.0,8.0,7.0,4.0,2.0,1.0,商丘,Shangqiu
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,商洛,Shangluo
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,8.0,8.0,11.0,14.0,16.0,16.0,16.0,19.0,19.0,23.0,27.0,30.0,34.0,34.0,36.0,35.0,35.0,34.0,36.0,34.0,32.0,33.0,32.0,30.0,28.0,27.0,25.0,23.0,22.0,20.0,17.0,17.0,17.0,13.0,11.0,10.0,4.0,嘉兴,Jiaxing
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,7.0,8.0,9.0,8.0,9.0,9.0,11.0,10.0,10.0,9.0,10.0,11.0,11.0,9.0,9.0,9.0,10.0,7.0,6.0,6.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,四平,Siping
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,固原,Guyuan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,固始,Gushi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,大兴安岭,Daxinganling
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,4.0,5.0,6.0,8.0,9.0,9.0,9.0,9.0,9.0,6.0,7.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,7.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,大同,Datong
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,5.0,5.0,5.0,5.0,7.0,8.0,8.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,14.0,13.0,16.0,16.0,15.0,15.0,12.0,15.0,17.0,17.0,17.0,17.0,16.0,13.0,13.0,11.0,9.0,8.0,8.0,大庆,Daqing
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,3.0,4.0,6.0,6.0,6.0,6.0,7.0,7.0,8.0,11.0,9.0,9.0,9.0,11.0,11.0,11.0,10.0,8.0,8.0,7.0,7.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,大理白族自治州,Dalibaizuzizhizhou
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,4.0,4.0,5.0,5.0,4.0,6.0,7.0,9.0,11.0,11.0,11.0,12.0,14.0,11.0,13.0,13.0,13.0,13.0,12.0,13.0,14.0,13.0,14.0,14.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,8.0,7.0,7.0,4.0,4.0,大连,Dalian
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,3.0,3.0,8.0,10.0,10.0,10.0,9.0,9.0,11.0,11.0,11.0,11.0,6.0,6.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,天水,Tianshui
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,5.0,8.0,10.0,14.0,23.0,24.0,27.0,31.0,32.0,41.0,47.0,59.0,65.0,66.0,77.0,78.0,83.0,86.0,85.0,94.0,99.0,95.0,85.0,82.0,76.0,76.0,77.0,73.0,69.0,68.0,67.0,51.0,45.0,41.0,36.0,31.0,28.0,24.0,22.0,天津,Tianjin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,13.0,21.0,31.0,41.0,61.0,75.0,92.0,105.0,107.0,118.0,128.0,153.0,152.0,168.0,177.0,197.0,239.0,271.0,339.0,385.0,391.0,410.0,436.0,434.0,402.0,328.0,315.0,283.0,249.0,223.0,200.0,197.0,176.0,151.0,121.0,112.0,天门,Tianmen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,5.0,5.0,5.0,8.0,8.0,10.0,10.0,11.0,14.0,14.0,15.0,15.0,15.0,15.0,13.0,11.0,13.0,11.0,10.0,6.0,8.0,7.0,5.0,6.0,4.0,2.0,2.0,1.0,1.0,0.0,太原,Taiyuan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,4.0,7.0,10.0,11.0,14.0,19.0,24.0,24.0,23.0,23.0,25.0,23.0,25.0,26.0,28.0,26.0,27.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,28.0,28.0,24.0,20.0,18.0,17.0,13.0,11.0,11.0,11.0,10.0,8.0,5.0,威海,Weihai
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,5.0,7.0,9.0,13.0,16.0,20.0,26.0,29.0,34.0,38.0,42.0,48.0,49.0,49.0,52.0,56.0,58.0,57.0,51.0,50.0,48.0,46.0,41.0,41.0,36.0,29.0,25.0,22.0,21.0,22.0,21.0,20.0,19.0,18.0,16.0,16.0,14.0,娄底,Loudi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,26.0,55.0,99.0,172.0,271.0,393.0,532.0,616.0,735.0,904.0,1103.0,1444.0,1861.0,2116.0,2091.0,2245.0,2357.0,2427.0,2462.0,2527.0,2616.0,2697.0,2739.0,2756.0,2760.0,2722.0,2690.0,2567.0,2562.0,2414.0,2263.0,2180.0,2044.0,2000.0,1778.0,1574.0,1356.0,1185.0,孝感,Xiaogan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,宁东,Ningdong
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,3.0,6.0,6.0,8.0,9.0,9.0,9.0,12.0,12.0,14.0,16.0,16.0,15.0,17.0,19.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,14.0,9.0,9.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,宁德,Ningde
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,6.0,13.0,13.0,17.0,20.0,41.0,46.0,41.0,65.0,74.0,101.0,116.0,120.0,127.0,124.0,128.0,131.0,131.0,127.0,128.0,118.0,107.0,108.0,100.0,94.0,88.0,67.0,65.0,54.0,51.0,47.0,43.0,34.0,35.0,21.0,17.0,11.0,9.0,宁波,Ningbo
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,5.0,8.0,8.0,14.0,18.0,18.0,37.0,43.0,47.0,55.0,53.0,57.0,63.0,60.0,65.0,63.0,63.0,65.0,65.0,51.0,49.0,49.0,48.0,49.0,44.0,39.0,30.0,28.0,22.0,18.0,14.0,14.0,9.0,4.0,3.0,3.0,1.0,安庆,Anqing
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,7.0,8.0,10.0,10.0,13.0,14.0,16.0,17.0,17.0,19.0,21.0,20.0,20.0,20.0,16.0,17.0,17.0,17.0,17.0,18.0,19.0,17.0,18.0,15.0,10.0,11.0,10.0,10.0,9.0,9.0,6.0,6.0,6.0,6.0,3.0,3.0,安康,Ankang
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,11.0,14.0,16.0,20.0,24.0,24.0,29.0,33.0,35.0,37.0,40.0,39.0,40.0,41.0,35.0,36.0,39.0,37.0,34.0,33.0,31.0,27.0,26.0,24.0,25.0,22.0,22.0,16.0,12.0,12.0,10.0,10.0,7.0,6.0,6.0,安阳,Anyang
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,安顺,Anshun
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,定安,Dingan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,7.0,7.0,6.0,6.0,6.0,7.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,定西,Dingxi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0,9.0,9.0,6.0,6.0,6.0,7.0,8.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,宜宾,Yibin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,19.0,30.0,50.0,62.0,116.0,166.0,275.0,352.0,391.0,449.0,492.0,557.0,603.0,592.0,601.0,667.0,698.0,712.0,714.0,727.0,783.0,799.0,740.0,715.0,694.0,674.0,633.0,636.0,612.0,599.0,591.0,550.0,535.0,503.0,471.0,437.0,394.0,宜昌,Yichang
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,6.0,10.0,14.0,14.0,26.0,28.0,30.0,35.0,43.0,44.0,50.0,57.0,57.0,61.0,68.0,67.0,73.0,72.0,79.0,83.0,82.0,84.0,82.0,76.0,73.0,64.0,53.0,48.0,34.0,30.0,22.0,16.0,11.0,10.0,10.0,2.0,宜春,Yichun
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,4.0,4.0,6.0,7.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,8.0,6.0,6.0,6.0,5.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,宝鸡,Baoji
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,宣城,Xuancheng
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,3.0,9.0,10.0,10.0,12.0,14.0,21.0,23.0,24.0,25.0,27.0,27.0,27.0,26.0,28.0,30.0,28.0,28.0,28.0,28.0,26.0,27.0,24.0,21.0,21.0,18.0,15.0,15.0,12.0,12.0,11.0,11.0,8.0,7.0,5.0,宿州,Suzhou
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,宿松,Susong
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,3.0,4.0,4.0,7.0,8.0,8.0,9.0,10.0,11.0,11.0,12.0,12.0,12.0,12.0,9.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,宿迁,Suqian
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,6.0,7.0,17.0,26.0,29.0,37.0,45.0,53.0,70.0,83.0,89.0,91.0,103.0,103.0,100.0,97.0,102.0,112.0,103.0,105.0,104.0,101.0,99.0,90.0,90.0,90.0,83.0,79.0,68.0,64.0,64.0,49.0,49.0,44.0,41.0,40.0,39.0,岳阳,Yueyang
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,峨眉山,Emeishan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,巩义,Gongyi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,5.0,8.0,8.0,12.0,12.0,15.0,19.0,20.0,19.0,20.0,20.0,21.0,21.0,21.0,21.0,23.0,23.0,21.0,21.0,21.0,21.0,14.0,14.0,14.0,14.0,14.0,14.0,13.0,13.0,12.0,12.0,12.0,巴中,Bazhong
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,巴彦淖尔,Bayannaoer
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,巴音郭楞蒙古自治州,Bayinguolengmengguzizhizhou
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,6.0,8.0,8.0,10.0,13.0,14.0,15.0,15.0,19.0,22.0,25.0,24.0,24.0,26.0,25.0,25.0,25.0,24.0,26.0,32.0,32.0,25.0,29.0,23.0,24.0,22.0,15.0,15.0,15.0,10.0,10.0,3.0,3.0,3.0,3.0,3.0,常州,Changzhou
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,12.0,19.0,26.0,30.0,37.0,39.0,42.0,45.0,50.0,53.0,59.0,50.0,50.0,51.0,51.0,57.0,55.0,51.0,51.0,51.0,50.0,48.0,45.0,36.0,30.0,27.0,22.0,20.0,21.0,20.0,16.0,15.0,13.0,10.0,10.0,10.0,常德,Changde
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,6.0,6.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,平凉,Pingliang
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,5.0,5.0,5.0,8.0,10.0,11.0,14.0,19.0,28.0,34.0,41.0,46.0,45.0,42.0,37.0,38.0,39.0,40.0,36.0,37.0,38.0,37.0,33.0,26.0,26.0,23.0,18.0,18.0,14.0,14.0,13.0,13.0,6.0,4.0,4.0,0.0,平顶山,Pingdingshan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,2.0,2.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,广元,Guangyuan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,2.0,6.0,7.0,7.0,9.0,13.0,16.0,20.0,21.0,24.0,24.0,24.0,27.0,24.0,25.0,25.0,25.0,27.0,25.0,23.0,22.0,22.0,20.0,20.0,16.0,12.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,7.0,6.0,广安,Guangan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,7.0,14.0,14.0,39.0,51.0,63.0,79.0,106.0,137.0,175.0,189.0,216.0,237.0,255.0,284.0,264.0,274.0,266.0,271.0,268.0,252.0,249.0,235.0,224.0,217.0,208.0,197.0,191.0,182.0,167.0,153.0,149.0,141.0,135.0,123.0,115.0,105.0,97.0,85.0,广州,Guangzhou
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,庆阳,Qingyang
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,9.0,9.0,9.0,11.0,10.0,11.0,11.0,12.0,13.0,11.0,11.0,16.0,18.0,19.0,18.0,20.0,18.0,17.0,15.0,16.0,14.0,12.0,10.0,9.0,8.0,5.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,廊坊,Langfang
