currentConfirmedCount,provinceName,province_confirmedCount,province_curedCount,province_suspectedCount,updateTime
0.0,西藏自治区,1,1,0,2020-02-16
49793.0,湖北省,58182,6693,0,2020-02-17
794.0,广东省,1322,524,0,2020-02-17
721.0,河南省,1246,509,0,2020-02-17
687.0,安徽省,973,280,0,2020-02-17
664.0,浙江省,1171,507,0,2020-02-17
654.0,江西省,930,275,0,2020-02-17
505.0,湖南省,1006,498,0,2020-02-17
368.0,江苏省,626,258,0,2020-02-17
361.0,黑龙江省,457,85,0,2020-02-17
348.0,山东省,541,191,0,2020-02-17
337.0,重庆市,552,210,0,2020-02-17
336.0,四川省,495,156,0,2020-02-17
263.0,北京市,381,114,0,2020-02-17
200.0,福建省,290,90,0,2020-02-17
183.0,广西壮族自治区,238,53,0,2020-02-17
176.0,河北省,301,122,0,2020-02-17
170.0,上海市,332,161,0,2020-02-17
161.0,陕西省,240,79,0,2020-02-17
124.0,云南省,171,47,0,2020-02-17
100.0,海南省,163,59,0,2020-02-17
88.0,贵州省,146,57,0,2020-02-17
78.0,山西省,129,51,0,2020-02-17
77.0,辽宁省,121,43,0,2020-02-17
76.0,天津市,125,46,0,2020-02-17
64.0,内蒙古自治区,72,8,0,2020-02-17
62.0,新疆维吾尔自治区,75,12,0,2020-02-17
55.0,香港,58,2,0,2020-02-17
54.0,吉林省,89,34,0,2020-02-17
35.0,宁夏回族自治区,70,35,0,2020-02-17
31.0,甘肃省,91,58,0,2020-02-17
19.0,台湾,22,2,0,2020-02-17
5.0,澳门,10,5,0,2020-02-17
5.0,青海省,18,13,0,2020-02-17
0.0,西藏自治区,1,1,0,2020-02-17
